topic_i,topic_j,phi,label_cosine,divergence
Exchange of Information,Tourism and NG_Activities,0.18181818181818182,0.0,0.16767676767676765
Exchange of Information,Historic Sites and Monuments,0.18181818181818182,0.0,0.16767676767676765
Exchange of Information,Search and Rescue,0.18181818181818182,0.0,0.16767676767676765
Exchange of Information,Specially Protected Species,0.18181818181818182,0.0,0.16767676767676765
Human Footprint and wilderness values,Operation of the Antarctic Treaty system The Secretariat,0.23529411764705882,0.002669309589049233,0.1646464646464646
Emergency report and contingency planning,Waste management and disposal,0.38461538461538464,0.03256682646170534,0.16414141414141414
Fauna and Flora_General,Operational issues,0.3157894736842105,0.0173763779978858,0.1585858585858586
Educational issues,Operation of the Antarctic Treaty system General,0.4230769230769231,0.041662641880127485,0.15808080808080804
Environmental Protection General,Operational issues,0.44,0.044471620585821145,0.15707070707070703
International Polar Year,Nonnative Species and Quarantine,0.4,0.036102211985864656,0.15454545454545454
Safety and Operations in Antarctica,Site Guidelines for Visitors,0.17647058823529413,0.0,0.147979797979798
Liability,Mineral resources,0.17647058823529413,0.0,0.147979797979798
Environmental Domains Analysis,Liability,0.17647058823529413,0.0,0.147979797979798
Safety and Operations in Antarctica,Specially Protected Species,0.17647058823529413,0.0,0.147979797979798
Liability,Management Plans,0.17647058823529413,0.0,0.147979797979798
Liability,Site Guidelines for Visitors,0.17647058823529413,0.0,0.147979797979798
Fauna and Flora_General,Liability,0.17647058823529413,0.0,0.147979797979798
Marine living resources,Safety and Operations in Antarctica,0.17647058823529413,0.0,0.147979797979798
Operation of the Antarctic Treaty system The Secretariat,Site Guidelines for Visitors,0.17647058823529413,0.0,0.147979797979798
Institutional and legal matters,Safety and Operations in Antarctica,0.5294117647058824,0.05854974670072459,0.14343434343434347
Educational issues,Operation of the Antarctic Treaty system Reports,0.38461538461538464,0.03566919622254461,0.1419191919191919
Human Footprint and wilderness values,Tourism and NG_Activities,0.36363636363636365,0.030375055386016515,0.14090909090909087
Environmental Protection General,International Polar Year,0.32,0.02387398436326607,0.14040404040404042
Mineral resources,Opening statements,0.1724137931034483,0.0,0.13737373737373737
Marine Acoustics,State of the Antarctic Environment Report SAER,0.2857142857142857,0.011469860701044585,0.1333333333333333
Comprehensive Environmental Evaluations,Emergency report and contingency planning,0.26666666666666666,0.00880953190047084,0.1318181818181819
Human Footprint and wilderness values,Operation of the Antarctic Treaty system General,0.23076923076923078,0.0032058950277827633,0.13181818181818183
Liability,Operation of the Antarctic Treaty system The Secretariat,0.29411764705882354,0.01241306745315296,0.13131313131313127
Drilling,State of the Antarctic Environment Report SAER,0.16666666666666666,0.0,0.1292929292929293
Drilling,Environmental Domains Analysis,0.16666666666666666,0.0,0.1292929292929293
Drilling,Sub glacial Lakes,0.16666666666666666,0.0,0.1292929292929293
CEP Strategy Discussions,Site Guidelines for Visitors,0.16666666666666666,0.0,0.1292929292929293
Repair and remediation of environmental damage,Science issues,0.16666666666666666,0.0,0.1292929292929293
CEP Strategy Discussions,Drilling,0.16666666666666666,0.0,0.1292929292929293
Management Plans,Science issues,0.16666666666666666,0.0,0.1292929292929293
Cooperation with Other Organisations,Science issues,0.16666666666666666,0.0,0.1292929292929293
Liability,Science issues,0.16666666666666666,0.0,0.1292929292929293
Drilling,Repair and remediation of environmental damage,0.16666666666666666,0.0,0.1292929292929293
CEP Strategy Discussions,Science issues,0.16666666666666666,0.0,0.1292929292929293
Area Protection and Management Plans General,Search and Rescue,0.38461538461538464,0.03915884604522609,0.12272727272727268
Emergency report and contingency planning,Prevention of marine pollution,0.2727272727272727,0.010549224304728632,0.12121212121212122
Drilling,Environmental Protection General,0.16,0.0,0.11919191919191918
Environmental Protection General,Site Guidelines for Visitors,0.16,0.0,0.11919191919191918
Environmental Protection General,Marine Acoustics,0.16,0.0,0.11919191919191918
Human Footprint and wilderness values,State of the Antarctic Environment Report SAER,0.2727272727272727,0.0106496436281208,0.11818181818181817
Inspections,Marine Acoustics,0.15789473684210525,0.0,0.11262626262626263
Marine Acoustics,Operational issues,0.15789473684210525,0.0,0.11262626262626263
Nonnative Species and Quarantine,Repair and remediation of environmental damage,0.3333333333333333,0.029190806745273606,0.108080808080808
Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.45454545454545453,0.06464149358773874,0.10404040404040404
Historic Sites and Monuments,Repair and remediation of environmental damage,0.38461538461538464,0.04178477089960854,0.10353535353535348
Comprehensive Environmental Evaluations,Operation of the Antarctic Treaty system General,0.34615384615384615,0.032435252807204086,0.10252525252525257
Biological Prospecting,Operation of the Antarctic Treaty system General,0.2692307692307692,0.010821852026076178,0.10151515151515156
Inspections,Nonnative Species and Quarantine,0.42105263157894735,0.05251242989260834,0.10050505050505054
Operation of the Antarctic Treaty system General,Specially Protected Species,0.15384615384615385,0.0,0.097979797979798
Educational issues,Search and Rescue,0.15384615384615385,0.0,0.097979797979798
Educational issues,Emergency report and contingency planning,0.15384615384615385,0.0,0.097979797979798
Educational issues,Marine Protected Areas,0.15384615384615385,0.0,0.097979797979798
Area Protection and Management Plans General,Drilling,0.15384615384615385,0.0,0.097979797979798
Historic Sites and Monuments,Marine Acoustics,0.15384615384615385,0.0,0.097979797979798
Climate Change,Operation of the Antarctic Treaty system General,0.15384615384615385,0.0,0.097979797979798
Drilling,Institutional and legal matters,0.15384615384615385,0.0,0.097979797979798
Marine living resources,Operational issues,0.2631578947368421,0.009959487876478029,0.09797979797979794
Institutional and legal matters,Repair and remediation of environmental damage,0.38461538461538464,0.04287829632567885,0.09646464646464648
Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.45454545454545453,0.07136599778240607,0.09595959595959591
Exchange of Information,Operation of the Antarctic Treaty system General,0.46153846153846156,0.07763574661086672,0.08939393939393936
Emergency report and contingency planning,Fauna and Flora_General,0.375,0.0418917305388565,0.08686868686868687
Historic Sites and Monuments,Prevention of marine pollution,0.23076923076923078,0.00548391007744939,0.08636363636363636
Historic Sites and Monuments,Safety and Operations in Antarctica,0.35294117647058826,0.03593524332354151,0.08535353535353529
Area Protection and Management Plans General,Repair and remediation of environmental damage,0.46153846153846156,0.08703461003107456,0.08434343434343428
Environmental Monitoring and Reporting,Operation of the CEP,0.15,0.0,0.08181818181818179
Cooperation with Other Organisations,Environmental Monitoring and Reporting,0.15,0.0,0.08181818181818179
Operation of the Antarctic Treaty system Reports,Specially Protected Species,0.15,0.0,0.08181818181818179
Marine Protected Areas,Nonnative Species and Quarantine,0.3333333333333333,0.03288896122586098,0.07979797979797976
Comprehensive Environmental Evaluations,Human Footprint and wilderness values,0.3333333333333333,0.033131616987159926,0.07878787878787874
Marine Protected Areas,Operation of the Antarctic Treaty system General,0.2692307692307692,0.012174764309770787,0.07828282828282829
Mineral resources,Waste management and disposal,0.23076923076923078,0.005664653096779223,0.07828282828282829
Area Protection and Management Plans General,Comprehensive Environmental Evaluations,0.3333333333333333,0.03321987273715499,0.0767676767676767
Emergency report and contingency planning,Search and Rescue,0.36363636363636365,0.040350376013615775,0.07525252525252524
Biological Prospecting,Opening statements,0.3448275862068966,0.035847602674946,0.07474747474747478
Environmental Impact Assessment EIA Other EIA Matters,Waste management and disposal,0.4090909090909091,0.053858338286375346,0.07373737373737377
Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.55,0.14897177351784738,0.07272727272727264
Opening statements,Operation of the Antarctic Treaty system The Secretariat,0.3448275862068966,0.036160654044660547,0.07070707070707072
Comprehensive Environmental Evaluations,Operational issues,0.3684210526315789,0.042946455000031664,0.07070707070707072
Environmental Monitoring and Reporting,Nonnative Species and Quarantine,0.35,0.037186873599064814,0.07020202020202027
Environmental Impact Assessment EIA Other EIA Matters,International Polar Year,0.2727272727272727,0.013882095566614256,0.0696969696969697
Marine living resources,Search and Rescue,0.4,0.052588596818362095,0.0696969696969697
Operation of the CEP,State of the Antarctic Environment Report SAER,0.5,0.13538362101931356,0.06717171717171722
Biological Prospecting,Operation of the CEP,0.14285714285714285,0.0,0.06616161616161614
Drilling,International Polar Year,0.14285714285714285,0.0,0.06616161616161614
Emergency report and contingency planning,International Polar Year,0.14285714285714285,0.0,0.06616161616161614
Cooperation with Other Organisations,Waste management and disposal,0.14285714285714285,0.0,0.06616161616161614
International Polar Year,Marine living resources,0.14285714285714285,0.0,0.06616161616161614
International Polar Year,State of the Antarctic Environment Report SAER,0.14285714285714285,0.0,0.06616161616161614
Biological Prospecting,Marine Acoustics,0.14285714285714285,0.0,0.06616161616161614
Cooperation with Other Organisations,Marine living resources,0.14285714285714285,0.0,0.06616161616161614
Cooperation with Other Organisations,Marine Acoustics,0.14285714285714285,0.0,0.06616161616161614
Environmental Domains Analysis,Multiyear strategic workplan,0.14285714285714285,0.0,0.06616161616161614
Environmental Monitoring and Reporting,Management Plans,0.3,0.02335224508110295,0.06464646464646462
Nonnative Species and Quarantine,Site Guidelines for Visitors,0.26666666666666666,0.012356103287010907,0.06414141414141417
Mineral resources,Operational issues,0.3157894736842105,0.03161575977388563,0.0575757575757575
Marine Protected Areas,Operation of the Antarctic Treaty system The Secretariat,0.29411764705882354,0.020274035696647055,0.05555555555555558
Mineral resources,Tourism and NG_Activities,0.3,0.024539063037596016,0.054545454545454564
Environmental Protection General,Inspections,0.48,0.1488691390640256,0.054040404040404
Human Footprint and wilderness values,Opening statements,0.13793103448275862,0.0,0.051515151515151514
Marine Protected Areas,Opening statements,0.13793103448275862,0.0,0.051515151515151514
Environmental Impact Assessment EIA Other EIA Matters,Human Footprint and wilderness values,0.2727272727272727,0.01545324256985774,0.0505050505050505
Area Protection and Management Plans General,Institutional and legal matters,0.38461538461538464,0.05335365105195532,0.04898989898989892
Environmental Domains Analysis,State of the Antarctic Environment Report SAER,0.6,0.22159604846325004,0.048484848484848464
Area Protection and Management Plans General,Specially Protected Species,0.46153846153846156,0.15299041579657582,0.0479797979797979
Drilling,Exchange of Information,0.13636363636363635,0.0,0.044949494949494934
Environmental Monitoring and Reporting,Opening statements,0.41379310344827586,0.07532895739471804,0.04141414141414146
Comprehensive Environmental Evaluations,Site Guidelines for Visitors,0.13333333333333333,0.0,0.0393939393939394
Drilling,Nonnative Species and Quarantine,0.13333333333333333,0.0,0.0393939393939394
Biological Prospecting,Comprehensive Environmental Evaluations,0.2,0.00369753404388694,0.03686868686868683
Comprehensive Environmental Evaluations,Opening statements,0.27586206896551724,0.017722465425167824,0.036363636363636376
Nonnative Species and Quarantine,Prevention of marine pollution,0.3333333333333333,0.03984085044950006,0.036363636363636265
International Polar Year,Sub glacial Lakes,0.21428571428571427,0.0055741080723332725,0.03585858585858581
Biological Prospecting,Safety and Operations in Antarctica,0.29411764705882354,0.024478103903984062,0.033333333333333326
Biological Prospecting,Mineral resources,0.21428571428571427,0.005655185868391717,0.03282828282828282
Environmental Protection General,Historic Sites and Monuments,0.28,0.01938888715251847,0.03232323232323231
Area Protection and Management Plans General,Multiyear strategic workplan,0.3076923076923077,0.030367597171162622,0.03181818181818186
Environmental Domains Analysis,Tourism and NG_Activities,0.2,0.003967320820149599,0.0318181818181818
Environmental Impact Assessment EIA Other EIA Matters,Marine Acoustics,0.22727272727272727,0.006820410844199,0.0318181818181818
Marine living resources,Operation of the Antarctic Treaty system The Secretariat,0.23529411764705882,0.00952069508870607,0.02929292929292926
Historic Sites and Monuments,Human Footprint and wilderness values,0.3076923076923077,0.030695787919148294,0.02777777777777779
Environmental Protection General,Safety and Operations in Antarctica,0.32,0.03817158789405209,0.027272727272727226
Climate Change,Tourism and NG_Activities,0.125,0.0,0.02474747474747474
Climate Change,Marine living resources,0.125,0.0,0.02474747474747474
Climate Change,Operation of the CEP,0.125,0.0,0.02474747474747474
Multiyear strategic workplan,Science issues,0.125,0.0,0.02474747474747474
Climate Change,Prevention of marine pollution,0.125,0.0,0.02474747474747474
Fauna and Flora_General,Science issues,0.125,0.0,0.02474747474747474
Operation of the CEP,Science issues,0.125,0.0,0.02474747474747474
Operation of the CEP,Sub glacial Lakes,0.125,0.0,0.02474747474747474
Fauna and Flora_General,Multiyear strategic workplan,0.125,0.0,0.02474747474747474
Drilling,Management Plans,0.125,0.0,0.02474747474747474
Nonnative Species and Quarantine,Operation of the Antarctic Treaty system General,0.2692307692307692,0.01665295137153755,0.023737373737373724
Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.52,0.2639306785111674,0.020707070707070674
Institutional and legal matters,Marine Protected Areas,0.23076923076923078,0.008523480089933968,0.019696969696969713
Opening statements,Operational issues,0.3448275862068966,0.04630756908419748,0.01717171717171717
Educational issues,Science issues,0.6153846153846154,0.3356589922694323,0.01717171717171717
Area Protection and Management Plans General,Inspections,0.42105263157894735,0.13556115515015196,0.01666666666666672
Marine Protected Areas,Prevention of marine pollution,0.45454545454545453,0.21051277916633718,0.014141414141414121
Area Protection and Management Plans General,Marine Acoustics,0.23076923076923078,0.008718455375762543,0.013636363636363613
Area Protection and Management Plans General,Fauna and Flora_General,0.4375,0.19152680008208417,0.013131313131313105
Environmental Protection General,Operation of the Antarctic Treaty system General,0.5,0.2686117453187379,0.012626262626262652
Emergency report and contingency planning,Human Footprint and wilderness values,0.2727272727272727,0.020140394399135585,0.0121212121212122
Mineral resources,Nonnative Species and Quarantine,0.26666666666666666,0.01704884663700288,0.010606060606060619
Biological Prospecting,Tourism and NG_Activities,0.21428571428571427,0.006816388453065286,0.010606060606060563
Inspections,International Polar Year,0.3157894736842105,0.03958458349181965,0.009090909090909038
Site Guidelines for Visitors,Specially Protected Species,0.2,0.005206075558769865,0.006565656565656552
Environmental Impact Assessment EIA Other EIA Matters,Historic Sites and Monuments,0.2727272727272727,0.021312780847175795,0.005050505050505083
Marine living resources,Mineral resources,0.6666666666666666,0.5325723725239984,0.005050505050505083
Historic Sites and Monuments,Operation of the Antarctic Treaty system The Secretariat,0.23529411764705882,0.010731096132863839,0.004040404040403955
Liability,State of the Antarctic Environment Report SAER,0.11764705882352941,0.0,0.0035353535353535304
Climate Change,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.0,0.0035353535353535304
Drilling,Safety and Operations in Antarctica,0.11764705882352941,0.0,0.0035353535353535304
Drilling,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.0,0.0035353535353535304
Liability,Repair and remediation of environmental damage,0.11764705882352941,0.0,0.0035353535353535304
Liability,Operation of the CEP,0.11764705882352941,0.0,0.0035353535353535304
Liability,Multiyear strategic workplan,0.11764705882352941,0.0,0.0035353535353535304
Cooperation with Other Organisations,Liability,0.11764705882352941,0.0,0.0035353535353535304
Environmental Monitoring and Reporting,Waste management and disposal,0.35,0.05099841302992504,0.0005050505050505638
Marine Acoustics,Waste management and disposal,0.23076923076923078,0.009518301104088047,0.0005050505050505083
International Polar Year,Operation of the Antarctic Treaty system General,0.3076923076923077,0.034496292357605284,-0.0005050505050504528
Biological Prospecting,Institutional and legal matters,0.21428571428571427,0.0072065979208082815,-0.0005050505050505083
Area Protection and Management Plans General,Management Plans,0.5625,0.6496174276808954,-0.002020202020202033
Environmental Monitoring and Reporting,Prevention of marine pollution,0.25,0.014131774397120402,-0.002525252525252597
Liability,Operation of the Antarctic Treaty system Reports,0.25,0.014600429580017532,-0.008585858585858586
CEP Strategy Discussions,Operation of the CEP,0.4166666666666667,0.18421644232685488,-0.008585858585858586
Operation of the Antarctic Treaty system General,Site Guidelines for Visitors,0.11538461538461539,0.0,-0.008585858585858586
Climate Change,Site Guidelines for Visitors,0.25,0.014625956126738119,-0.009595959595959602
Fauna and Flora_General,Waste management and disposal,0.3125,0.04028021763052758,-0.011616161616161635
Historic Sites and Monuments,Tourism and NG_Activities,0.3076923076923077,0.036552705321253424,-0.011616161616161635
Climate Change,Institutional and legal matters,0.25,0.015188904004344545,-0.014646464646464685
Operation of the CEP,Site Guidelines for Visitors,0.1111111111111111,0.0,-0.015656565656565674
Operation of the Antarctic Treaty system Reports,Waste management and disposal,0.25,0.015281983337120827,-0.015656565656565702
Marine living resources,State of the Antarctic Environment Report SAER,0.2222222222222222,0.008536612565310244,-0.016666666666666663
Environmental Monitoring and Reporting,Operational issues,0.2,0.006033593273128679,-0.016666666666666663
Operational issues,Repair and remediation of environmental damage,0.3157894736842105,0.04413656248457288,-0.018181818181818188
Biological Prospecting,Environmental Impact Assessment EIA Other EIA Matters,0.18181818181818182,0.0032391209634347025,-0.019191919191919204
Environmental Domains Analysis,Human Footprint and wilderness values,0.18181818181818182,0.0033316286012823534,-0.02020202020202022
Inspections,Sub glacial Lakes,0.10526315789473684,0.0,-0.0207070707070707
Environmental Protection General,Management Plans,0.28,0.028215397546642956,-0.022222222222222143
Biological Prospecting,Operation of the Antarctic Treaty system Reports,0.2,0.0064788274781278285,-0.022727272727272763
Emergency report and contingency planning,Nonnative Species and Quarantine,0.3333333333333333,0.05157497925074565,-0.02323232323232327
Opening statements,Search and Rescue,0.10344827586206896,0.0,-0.02474747474747474
Opening statements,Site Guidelines for Visitors,0.10344827586206896,0.0,-0.02474747474747474
Opening statements,Specially Protected Species,0.10344827586206896,0.0,-0.02474747474747474
Comprehensive Environmental Evaluations,Environmental Impact Assessment EIA Other EIA Matters,0.4090909090909091,0.19375978755300305,-0.025252525252525304
Exchange of Information,International Polar Year,0.3181818181818182,0.04699124327897573,-0.025757575757575757
Environmental Protection General,Waste management and disposal,0.28,0.028472431086935274,-0.027272727272727226
Marine Acoustics,Safety and Operations in Antarctica,0.23529411764705882,0.012722490023760967,-0.02929292929292937
Environmental Impact Assessment EIA Other EIA Matters,Repair and remediation of environmental damage,0.4090909090909091,0.1991291474540653,-0.02929292929292937
Institutional and legal matters,Operation of the Antarctic Treaty system The Secretariat,0.23529411764705882,0.012849675417214348,-0.03131313131313129
Educational issues,Safety and Operations in Antarctica,0.3076923076923077,0.040171145522818856,-0.031818181818181746
Operational issues,Specially Protected Species,0.21052631578947367,0.008375786806356917,-0.0318181818181818
Environmental Impact Assessment EIA Other EIA Matters,Mineral resources,0.18181818181818182,0.004059050137981543,-0.032323232323232365
CEP Strategy Discussions,Operation of the Antarctic Treaty system General,0.23076923076923078,0.011175998896833782,-0.03282828282828282
Educational issues,Waste management and disposal,0.19230769230769232,0.005632448478906261,-0.03434343434343434
Environmental Impact Assessment EIA Other EIA Matters,Environmental Monitoring and Reporting,0.4090909090909091,0.21638570999395904,-0.036363636363636376
Comprehensive Environmental Evaluations,Inspections,0.3684210526315789,0.10110213738661511,-0.036363636363636376
Fauna and Flora_General,Search and Rescue,0.3125,0.04567952177079057,-0.03989898989898999
Biological Prospecting,Environmental Protection General,0.36,0.07662484789151251,-0.04141414141414146
Nonnative Species and Quarantine,Operation of the Antarctic Treaty system The Secretariat,0.23529411764705882,0.013865670084887097,-0.042424242424242475
Operational issues,Tourism and NG_Activities,0.21052631578947367,0.008637911254084899,-0.04292929292929293
Area Protection and Management Plans General,CEP Strategy Discussions,0.23076923076923078,0.011602955276923895,-0.042929292929292984
Operation of the Antarctic Treaty system Reports,Operational issues,0.4,0.218466919922813,-0.04747474747474745
Emergency report and contingency planning,Sub glacial Lakes,0.09090909090909091,0.0,-0.04797979797979798
Exchange of Information,Multiyear strategic workplan,0.09090909090909091,0.0,-0.04797979797979798
Exchange of Information,Marine Acoustics,0.09090909090909091,0.0,-0.04797979797979798
Environmental Domains Analysis,Marine Protected Areas,0.09090909090909091,0.0,-0.04797979797979798
Marine Protected Areas,Multiyear strategic workplan,0.09090909090909091,0.0,-0.04797979797979798
Drilling,Human Footprint and wilderness values,0.09090909090909091,0.0,-0.04797979797979798
Environmental Impact Assessment EIA Other EIA Matters,Specially Protected Species,0.09090909090909091,0.0,-0.04797979797979798
Environmental Impact Assessment EIA Other EIA Matters,Operation of the CEP,0.22727272727272727,0.01064440123288766,-0.04797979797979801
Management Plans,Prevention of marine pollution,0.25,0.018601894665691777,-0.04797979797979801
Human Footprint and wilderness values,Site Guidelines for Visitors,0.2727272727272727,0.02899216491297288,-0.04949494949494948
Search and Rescue,Waste management and disposal,0.3076923076923077,0.04275134430156895,-0.04999999999999993
Environmental Monitoring and Reporting,Operation of the Antarctic Treaty system The Secretariat,0.2,0.007714106825785076,-0.050000000000000044
Environmental Protection General,Operation of the Antarctic Treaty system Reports,0.32,0.055382058126042105,-0.0505050505050505
Marine Acoustics,Site Guidelines for Visitors,0.2222222222222222,0.010222175917094047,-0.05202020202020202
Marine living resources,Tourism and NG_Activities,0.3,0.03945803220172191,-0.05252525252525253
Institutional and legal matters,Site Guidelines for Visitors,0.23076923076923078,0.012192710755614834,-0.05303030303030304
Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.4,0.23761941577056656,-0.0565656565656566
Comprehensive Environmental Evaluations,Repair and remediation of environmental damage,0.4,0.2403052607997387,-0.0575757575757575
Human Footprint and wilderness values,Waste management and disposal,0.3076923076923077,0.04482868451862035,-0.058080808080808066
Institutional and legal matters,Nonnative Species and Quarantine,0.26666666666666666,0.02784556602746387,-0.05909090909090908
CEP Strategy Discussions,Mineral resources,0.08333333333333333,0.0,-0.059595959595959605
Marine Acoustics,Science issues,0.08333333333333333,0.0,-0.059595959595959605
Marine Acoustics,Repair and remediation of environmental damage,0.08333333333333333,0.0,-0.059595959595959605
CEP Strategy Discussions,Sub glacial Lakes,0.08333333333333333,0.0,-0.059595959595959605
Drilling,Science issues,0.08333333333333333,0.0,-0.059595959595959605
Prevention of marine pollution,Science issues,0.08333333333333333,0.0,-0.059595959595959605
CEP Strategy Discussions,Emergency report and contingency planning,0.08333333333333333,0.0,-0.059595959595959605
Nonnative Species and Quarantine,Tourism and NG_Activities,0.3333333333333333,0.07238510879139401,-0.0626262626262627
Human Footprint and wilderness values,Nonnative Species and Quarantine,0.26666666666666666,0.028244780732936885,-0.06313131313131304
Institutional and legal matters,Waste management and disposal,0.3076923076923077,0.04569256709886446,-0.06313131313131315
Search and Rescue,Tourism and NG_Activities,0.3,0.04098993408534543,-0.0636363636363636
CEP Strategy Discussions,Search and Rescue,0.25,0.021685948509764484,-0.06414141414141417
Marine living resources,Operation of the Antarctic Treaty system Reports,0.2,0.008407728004720057,-0.06414141414141417
Emergency report and contingency planning,Exchange of Information,0.22727272727272727,0.011539881057785441,-0.06515151515151518
Safety and Operations in Antarctica,Waste management and disposal,0.29411764705882354,0.03708783125968438,-0.06565656565656564
Prevention of marine pollution,Waste management and disposal,0.23076923076923078,0.013192731950125092,-0.06616161616161614
Multiyear strategic workplan,Operational issues,0.21052631578947367,0.009925919458212001,-0.0661616161616162
Mineral resources,Prevention of marine pollution,0.2222222222222222,0.011162497205304774,-0.06717171717171716
Educational issues,Marine Acoustics,0.07692307692307693,0.0,-0.07070707070707072
Operation of the Antarctic Treaty system The Secretariat,Operational issues,0.3684210526315789,0.1857373167290868,-0.07272727272727275
Educational issues,Operation of the Antarctic Treaty system The Secretariat,0.2692307692307692,0.030325418597009747,-0.07424242424242422
Liability,Safety and Operations in Antarctica,0.23529411764705882,0.0164432071217755,-0.0757575757575758
Environmental Impact Assessment EIA Other EIA Matters,Marine living resources,0.18181818181818182,0.006092099431239461,-0.0787878787878788
Historic Sites and Monuments,Waste management and disposal,0.3076923076923077,0.04970621901851874,-0.08434343434343428
Environmental Impact Assessment EIA Other EIA Matters,Marine Protected Areas,0.18181818181818182,0.006486471848205053,-0.0848484848484849
Cooperation with Other Organisations,Site Guidelines for Visitors,0.07142857142857142,0.0,-0.08585858585858587
International Polar Year,Site Guidelines for Visitors,0.07142857142857142,0.0,-0.08585858585858587
Cooperation with Other Organisations,Tourism and NG_Activities,0.07142857142857142,0.0,-0.08585858585858587
Cooperation with Other Organisations,Sub glacial Lakes,0.07142857142857142,0.0,-0.08585858585858587
Cooperation with Other Organisations,Marine Protected Areas,0.07142857142857142,0.0,-0.08585858585858587
Cooperation with Other Organisations,Specially Protected Species,0.07142857142857142,0.0,-0.08585858585858587
Biological Prospecting,Human Footprint and wilderness values,0.07142857142857142,0.0,-0.08585858585858587
Biological Prospecting,Search and Rescue,0.07142857142857142,0.0,-0.08585858585858587
Environmental Impact Assessment EIA Other EIA Matters,Institutional and legal matters,0.36363636363636365,0.1964539222035449,-0.09040404040404049
Area Protection and Management Plans General,Marine Protected Areas,0.38461538461538464,0.30436550434724696,-0.09141414141414139
Institutional and legal matters,State of the Antarctic Environment Report SAER,0.15384615384615385,0.0037279080235972924,-0.09494949494949495
Operation of the CEP,Repair and remediation of environmental damage,0.3333333333333333,0.10674178320159666,-0.09595959595959602
Repair and remediation of environmental damage,Tourism and NG_Activities,0.25,0.02673515504511726,-0.09646464646464648
Marine Acoustics,Opening statements,0.06896551724137931,0.0,-0.09898989898989899
Opening statements,Sub glacial Lakes,0.06896551724137931,0.0,-0.09898989898989899
Opening statements,Tourism and NG_Activities,0.06896551724137931,0.0,-0.09898989898989899
Operational issues,Safety and Operations in Antarctica,0.3684210526315789,0.24604048763494288,-0.09999999999999998
Opening statements,Waste management and disposal,0.3103448275862069,0.06348838352432902,-0.1010101010101011
Marine Protected Areas,Marine living resources,0.36363636363636365,0.2245584816118987,-0.10353535353535359
Comprehensive Environmental Evaluations,Marine Acoustics,0.06666666666666667,0.0,-0.10454545454545455
Area Protection and Management Plans General,Operation of the CEP,0.3076923076923077,0.06171805926234837,-0.11161616161616161
Educational issues,Operational issues,0.38461538461538464,0.6116435348775044,-0.11161616161616161
Fauna and Flora_General,Prevention of marine pollution,0.0625,0.0,-0.11161616161616163
Climate Change,Sub glacial Lakes,0.0625,0.0,-0.11161616161616163
Climate Change,Mineral resources,0.0625,0.0,-0.11161616161616163
Drilling,Fauna and Flora_General,0.0625,0.0,-0.11161616161616163
Emergency report and contingency planning,Marine living resources,0.2727272727272727,0.03779403881794924,-0.11515151515151512
Prevention of marine pollution,Safety and Operations in Antarctica,0.23529411764705882,0.022697347793645732,-0.11515151515151523
Environmental Monitoring and Reporting,Marine Protected Areas,0.2,0.01076913293215408,-0.11666666666666664
Marine Acoustics,Nonnative Species and Quarantine,0.26666666666666666,0.03458216316183902,-0.11868686868686862
CEP Strategy Discussions,Operation of the Antarctic Treaty system Reports,0.2,0.010945170153580206,-0.11868686868686867
Liability,Sub glacial Lakes,0.058823529411764705,0.0,-0.11868686868686869
Operation of the Antarctic Treaty system The Secretariat,Specially Protected Species,0.058823529411764705,0.0,-0.11868686868686869
Safety and Operations in Antarctica,Sub glacial Lakes,0.058823529411764705,0.0,-0.11868686868686869
Comprehensive Environmental Evaluations,Educational issues,0.2692307692307692,0.036622632299976594,-0.12070707070707065
Repair and remediation of environmental damage,Waste management and disposal,0.3076923076923077,0.0658506360711762,-0.12070707070707065
Inspections,Operation of the Antarctic Treaty system Reports,0.25,0.029302952682267396,-0.12171717171717178
Nonnative Species and Quarantine,Safety and Operations in Antarctica,0.29411764705882354,0.04751797068491428,-0.12222222222222223
International Polar Year,Operation of the Antarctic Treaty system Reports,0.25,0.02953377331648762,-0.1227272727272728
Operational issues,State of the Antarctic Environment Report SAER,0.05263157894736842,0.0,-0.12323232323232323
Drilling,Operation of the Antarctic Treaty system Reports,0.05,0.0,-0.12676767676767678
Environmental Monitoring and Reporting,Multiyear strategic workplan,0.05,0.0,-0.12676767676767678
Operation of the Antarctic Treaty system Reports,Sub glacial Lakes,0.05,0.0,-0.12676767676767678
Inspections,Operation of the CEP,0.2631578947368421,0.03418148122408471,-0.1272727272727272
Exchange of Information,Sub glacial Lakes,0.045454545454545456,0.0,-0.1297979797979798
Sub glacial Lakes,Waste management and disposal,0.15384615384615385,0.005411965855005305,-0.13030303030303025
International Polar Year,Operation of the Antarctic Treaty system The Secretariat,0.23529411764705882,0.025109173556470767,-0.1323232323232324
Marine living resources,Nonnative Species and Quarantine,0.26666666666666666,0.03697647534346335,-0.13282828282828274
Environmental Domains Analysis,Science issues,0.041666666666666664,0.0,-0.13333333333333333
