member,period_end,from_topic,to_topic,distance
Germany,1992,Operational issues,Cooperation with Other Organisations,0.8421052631578947
Germany,1992,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
IHO,1992,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
IUCN,1992,Area Protection and Management Plans General,Tourism and NG_Activities,0.7692307692307692
Italy,1992,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Korea (DPRK),1992,Opening statements,Exchange of Information,0.48275862068965514
Netherlands,1992,Environmental Protection General,Liability,0.52
Netherlands,1992,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system The Secretariat,0.6538461538461539
New Zealand,1992,Environmental Protection General,Opening statements,0.5172413793103448
Norway,1992,Area Protection and Management Plans General,Tourism and NG_Activities,0.7692307692307692
Russian Federation,1992,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
SCAR,1992,Operation of the Antarctic Treaty system Reports,Area Protection and Management Plans General,0.8
SCAR,1992,Operation of the Antarctic Treaty system Reports,Exchange of Information,0.7272727272727273
SCAR,1992,Operation of the Antarctic Treaty system Reports,Science issues,0.6666666666666667
Spain,1992,Area Protection and Management Plans General,Tourism and NG_Activities,0.7692307692307692
United Kingdom,1992,Management Plans,Historic Sites and Monuments,0.4375
United Kingdom,1992,Human Footprint and wilderness values,Marine living resources,0.5454545454545454
United States,1992,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Uruguay,1992,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Uruguay,1992,Operational issues,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
WMO,1992,Exchange of Information,Environmental Monitoring and Reporting,0.6363636363636364
WMO,1992,Exchange of Information,Operation of the Antarctic Treaty system Reports,0.7272727272727273
ASOC,1994,Environmental Protection General,Environmental Monitoring and Reporting,0.64
ASOC,1994,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Argentina,1994,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
Argentina,1994,Exchange of Information,Environmental Protection General,0.48
Argentina,1994,Exchange of Information,Inspections,0.5
Argentina,1994,Operation of the Antarctic Treaty system Reports,Prevention of marine pollution,0.7
Australia,1994,Environmental Protection General,Area Protection and Management Plans General,0.6799999999999999
Australia,1994,Operational issues,Exchange of Information,0.4545454545454546
Australia,1994,Waste management and disposal,Marine living resources,0.6923076923076923
Australia,1994,CEP Strategy Discussions,Tourism and NG_Activities,0.6666666666666667
Belgium,1994,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
Belgium,1994,Exchange of Information,Environmental Protection General,0.48
Belgium,1994,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
COMNAP,1994,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
COMNAP,1994,Exchange of Information,Prevention of marine pollution,0.7727272727272727
Chile,1994,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Chile,1994,Exchange of Information,Operational issues,0.4545454545454546
France,1994,Management Plans,Area Protection and Management Plans General,0.4375
France,1994,Environmental Protection General,CEP Strategy Discussions,0.64
France,1994,Operational issues,Exchange of Information,0.4545454545454546
France,1994,Environmental Protection General,Opening statements,0.5172413793103448
Germany,1994,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Germany,1994,Institutional and legal matters,Tourism and NG_Activities,0.6153846153846154
IAATO,1994,Educational issues,Comprehensive Environmental Evaluations,0.7307692307692308
IAATO,1994,Educational issues,Cooperation with Other Organisations,0.7692307692307692
IOC,1994,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
IUCN,1994,Area Protection and Management Plans General,Cooperation with Other Organisations,0.8571428571428572
IUCN,1994,Area Protection and Management Plans General,Prevention of marine pollution,0.7692307692307692
Italy,1994,Exchange of Information,Inspections,0.5
Italy,1994,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Japan,1994,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Japan,1994,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Korea (ROK),1994,Opening statements,Inspections,0.6206896551724138
New Zealand,1994,Environmental Protection General,Exchange of Information,0.48
Peru,1994,Exchange of Information,Environmental Protection General,0.48
Russian Federation,1994,Operational issues,Drilling,0.7894736842105263
Russian Federation,1994,Exchange of Information,Environmental Protection General,0.48
Russian Federation,1994,Environmental Monitoring and Reporting,Prevention of marine pollution,0.75
Russian Federation,1994,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
SCAR,1994,Science issues,Educational issues,0.3846153846153846
SCAR,1994,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
SCAR,1994,Exchange of Information,Inspections,0.5
South Africa,1994,Environmental Protection General,Comprehensive Environmental Evaluations,0.64
South Africa,1994,Environmental Protection General,Operation of the Antarctic Treaty system Reports,0.6799999999999999
Spain,1994,Environmental Monitoring and Reporting,Operation of the Antarctic Treaty system Reports,0.7
United Kingdom,1994,Management Plans,Comprehensive Environmental Evaluations,0.5625
United States,1994,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Uruguay,1994,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
ASOC,1995,Area Protection and Management Plans General,Climate Change,0.6875
ASOC,1995,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
Australia,1995,CEP Strategy Discussions,Climate Change,0.5625
Brazil,1995,Opening statements,Exchange of Information,0.48275862068965514
CCAMLR,1995,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
COMNAP,1995,Exchange of Information,Environmental Monitoring and Reporting,0.6363636363636364
Ecuador,1995,Operation of the Antarctic Treaty system Reports,Environmental Protection General,0.6799999999999999
Ecuador,1995,Operation of the Antarctic Treaty system Reports,Opening statements,0.7586206896551724
France,1995,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
IUCN,1995,Cooperation with Other Organisations,Educational issues,0.7692307692307692
IUCN,1995,Area Protection and Management Plans General,Environmental Protection General,0.6799999999999999
IUCN,1995,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Italy,1995,Inspections,Tourism and NG_Activities,0.6842105263157895
Korea (ROK),1995,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
Korea (ROK),1995,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Korea (ROK),1995,Inspections,Waste management and disposal,0.5263157894736843
Netherlands,1995,Environmental Monitoring and Reporting,Comprehensive Environmental Evaluations,0.6
New Zealand,1995,Comprehensive Environmental Evaluations,Management Plans,0.5625
Peru,1995,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
Peru,1995,Environmental Protection General,Exchange of Information,0.48
SCAR,1995,Inspections,Area Protection and Management Plans General,0.5789473684210527
SCAR,1995,Educational issues,Climate Change,0.6923076923076923
South Africa,1995,Comprehensive Environmental Evaluations,Operation of the Antarctic Treaty system The Secretariat,0.6470588235294117
UNEP,1995,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
UNEP,1995,Operation of the Antarctic Treaty system Reports,Operation of the Antarctic Treaty system General,0.7692307692307692
United States,1995,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
WMO,1995,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
ASOC,1996,Institutional and legal matters,Tourism and NG_Activities,0.6153846153846154
Argentina,1996,Exchange of Information,Environmental Protection General,0.48
Argentina,1996,Inspections,Tourism and NG_Activities,0.6842105263157895
Australia,1996,CEP Strategy Discussions,Cooperation with Other Organisations,0.7142857142857143
Australia,1996,Exchange of Information,Educational issues,0.5
Australia,1996,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
Australia,1996,Area Protection and Management Plans General,Management Plans,0.4375
Australia,1996,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Belgium,1996,Comprehensive Environmental Evaluations,Emergency report and contingency planning,0.7333333333333334
Brazil,1996,Operation of the Antarctic Treaty system Reports,Area Protection and Management Plans General,0.8
Brazil,1996,Exchange of Information,Educational issues,0.5
Brazil,1996,Operation of the Antarctic Treaty system Reports,Emergency report and contingency planning,0.7
Brazil,1996,Exchange of Information,Environmental Protection General,0.48
Brazil,1996,Exchange of Information,Inspections,0.5
Brazil,1996,Exchange of Information,Operational issues,0.4545454545454546
CCAMLR,1996,Operation of the Antarctic Treaty system Reports,Liability,0.75
Canada,1996,Environmental Protection General,Opening statements,0.5172413793103448
Chile,1996,Science issues,Educational issues,0.3846153846153846
Chile,1996,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Chile,1996,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Chile,1996,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
France,1996,Opening statements,Science issues,0.5517241379310345
Germany,1996,Environmental Protection General,Cooperation with Other Organisations,0.84
Germany,1996,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
IAATO,1996,Tourism and NG_Activities,Emergency report and contingency planning,0.6363636363636364
IOC,1996,Operation of the Antarctic Treaty system Reports,Opening statements,0.7586206896551724
IUCN,1996,Environmental Protection General,Liability,0.52
IUCN,1996,Area Protection and Management Plans General,Management Plans,0.4375
Italy,1996,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
Italy,1996,Inspections,Historic Sites and Monuments,0.631578947368421
Italy,1996,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
Italy,1996,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Japan,1996,Tourism and NG_Activities,Drilling,0.7
Japan,1996,Operation of the Antarctic Treaty system Reports,Fauna and Flora_General,0.6
Japan,1996,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Korea (ROK),1996,Environmental Monitoring and Reporting,Operation of the Antarctic Treaty system Reports,0.7
Netherlands,1996,Comprehensive Environmental Evaluations,Area Protection and Management Plans General,0.6666666666666667
Netherlands,1996,Operation of the Antarctic Treaty system General,Inspections,0.5
Netherlands,1996,Environmental Protection General,Operation of the Antarctic Treaty system Reports,0.6799999999999999
New Zealand,1996,Comprehensive Environmental Evaluations,Drilling,0.8
New Zealand,1996,Exchange of Information,Educational issues,0.5
New Zealand,1996,Opening statements,Science issues,0.5517241379310345
New Zealand,1996,Institutional and legal matters,Tourism and NG_Activities,0.6153846153846154
Norway,1996,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
Peru,1996,Exchange of Information,Educational issues,0.5
Peru,1996,Environmental Protection General,Safety and Operations in Antarctica,0.6799999999999999
Peru,1996,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
SCAR,1996,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
South Africa,1996,Opening statements,Environmental Protection General,0.5172413793103448
South Africa,1996,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,0.75
United Kingdom,1996,Operational issues,Cooperation with Other Organisations,0.8421052631578947
United Kingdom,1996,Comprehensive Environmental Evaluations,Institutional and legal matters,0.6
United Kingdom,1996,Area Protection and Management Plans General,Management Plans,0.4375
United States,1996,Environmental Protection General,Liability,0.52
United States,1996,Area Protection and Management Plans General,Management Plans,0.4375
United States,1996,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Uruguay,1996,Institutional and legal matters,Comprehensive Environmental Evaluations,0.6
Uruguay,1996,Operation of the Antarctic Treaty system Reports,Operational issues,0.6
Uruguay,1996,Operation of the Antarctic Treaty system The Secretariat,Waste management and disposal,0.6470588235294117
WMO,1996,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
ASOC,1997,Liability,Waste management and disposal,0.6470588235294117
Argentina,1997,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
Argentina,1997,Environmental Protection General,Cooperation with Other Organisations,0.84
Argentina,1997,Historic Sites and Monuments,Management Plans,0.4375
Argentina,1997,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Argentina,1997,Inspections,Waste management and disposal,0.5263157894736843
Australia,1997,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Belgium,1997,Exchange of Information,Educational issues,0.5
Brazil,1997,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Brazil,1997,Emergency report and contingency planning,Tourism and NG_Activities,0.6363636363636364
Bulgaria,1997,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Bulgaria,1997,Opening statements,Science issues,0.5517241379310345
COMNAP,1997,Prevention of marine pollution,Tourism and NG_Activities,0.8
Chile,1997,Inspections,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
China,1997,Opening statements,Emergency report and contingency planning,0.8275862068965517
China,1997,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Ecuador,1997,Opening statements,Operation of the Antarctic Treaty system The Secretariat,0.6551724137931034
Finland,1997,Exchange of Information,Environmental Protection General,0.48
France,1997,Exchange of Information,Opening statements,0.48275862068965514
France,1997,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Germany,1997,Environmental Protection General,Inspections,0.52
IAATO,1997,Comprehensive Environmental Evaluations,Liability,0.7058823529411764
IAATO,1997,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
IAATO,1997,Educational issues,Science issues,0.3846153846153846
IUCN,1997,Management Plans,Area Protection and Management Plans General,0.4375
Italy,1997,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Italy,1997,Inspections,Operational issues,0.5789473684210527
Italy,1997,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Japan,1997,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
New Zealand,1997,Management Plans,Area Protection and Management Plans General,0.4375
New Zealand,1997,Management Plans,Historic Sites and Monuments,0.4375
New Zealand,1997,Environmental Protection General,Institutional and legal matters,0.56
New Zealand,1997,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Norway,1997,Human Footprint and wilderness values,Inspections,0.5789473684210527
Norway,1997,Opening statements,Operational issues,0.6551724137931034
Norway,1997,Opening statements,Science issues,0.5517241379310345
Peru,1997,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Russian Federation,1997,Environmental Protection General,Liability,0.52
Russian Federation,1997,Environmental Protection General,Opening statements,0.5172413793103448
SCAR,1997,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
SCAR,1997,Area Protection and Management Plans General,Management Plans,0.4375
United Kingdom,1997,Institutional and legal matters,Emergency report and contingency planning,0.6153846153846154
Uruguay,1997,Opening statements,Science issues,0.5517241379310345
WMO,1997,Exchange of Information,Operational issues,0.4545454545454546
Argentina,1998,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Argentina,1998,Exchange of Information,Inspections,0.5
Australia,1998,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Australia,1998,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
Brazil,1998,Area Protection and Management Plans General,Management Plans,0.4375
COMNAP,1998,Exchange of Information,Educational issues,0.5
COMNAP,1998,Tourism and NG_Activities,Emergency report and contingency planning,0.6363636363636364
COMNAP,1998,Exchange of Information,Operational issues,0.4545454545454546
China,1998,Environmental Protection General,Exchange of Information,0.48
Germany,1998,Tourism and NG_Activities,Emergency report and contingency planning,0.6363636363636364
Greece,1998,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
IAATO,1998,Emergency report and contingency planning,Safety and Operations in Antarctica,0.5882352941176471
IOC,1998,Operation of the Antarctic Treaty system Reports,Opening statements,0.7586206896551724
IUCN,1998,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
IUCN,1998,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
India,1998,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Italy,1998,Inspections,Waste management and disposal,0.5263157894736843
Japan,1998,Drilling,Tourism and NG_Activities,0.7
Netherlands,1998,Operation of the Antarctic Treaty system General,Inspections,0.5
Netherlands,1998,Area Protection and Management Plans General,Operation of the CEP,0.6923076923076923
New Zealand,1998,Management Plans,Operation of the CEP,0.6875
New Zealand,1998,Area Protection and Management Plans General,State of the Antarctic Environment Report SAER,0.7692307692307692
Norway,1998,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Norway,1998,Operational issues,Emergency report and contingency planning,0.6842105263157895
Norway,1998,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Norway,1998,Inspections,Historic Sites and Monuments,0.631578947368421
Norway,1998,Inspections,Liability,0.5789473684210527
Norway,1998,Human Footprint and wilderness values,Operation of the CEP,0.5454545454545454
Norway,1998,Operational issues,Safety and Operations in Antarctica,0.631578947368421
Norway,1998,Human Footprint and wilderness values,State of the Antarctic Environment Report SAER,0.7272727272727273
Peru,1998,Exchange of Information,Environmental Protection General,0.48
Peru,1998,Educational issues,Fauna and Flora_General,0.6923076923076923
Peru,1998,Exchange of Information,Operational issues,0.4545454545454546
Peru,1998,Environmental Monitoring and Reporting,Prevention of marine pollution,0.75
Russian Federation,1998,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Russian Federation,1998,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
SCAR,1998,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
United Kingdom,1998,Tourism and NG_Activities,CEP Strategy Discussions,0.6666666666666667
United Kingdom,1998,Inspections,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
United Kingdom,1998,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
United States,1998,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
United States,1998,Exchange of Information,Operation of the Antarctic Treaty system Reports,0.7272727272727273
United States,1998,Inspections,Waste management and disposal,0.5263157894736843
Uruguay,1998,Opening statements,Environmental Protection General,0.5172413793103448
ASOC,1999,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
ASOC,1999,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
ASOC,1999,Liability,Tourism and NG_Activities,0.7058823529411764
Argentina,1999,Exchange of Information,Opening statements,0.48275862068965514
Belgium,1999,Exchange of Information,Inspections,0.5
Brazil,1999,Environmental Protection General,Liability,0.52
Bulgaria,1999,Science issues,Educational issues,0.3846153846153846
COMNAP,1999,Educational issues,Environmental Impact Assessment EIA Other EIA Matters,0.5769230769230769
COMNAP,1999,Operational issues,Exchange of Information,0.4545454545454546
COMNAP,1999,Emergency report and contingency planning,Safety and Operations in Antarctica,0.5882352941176471
Canada,1999,Opening statements,International Polar Year,0.6551724137931034
Canada,1999,Opening statements,Science issues,0.5517241379310345
Chile,1999,Environmental Protection General,International Polar Year,0.6799999999999999
China,1999,Opening statements,Science issues,0.5517241379310345
Denmark,1999,Opening statements,Operation of the Antarctic Treaty system The Secretariat,0.6551724137931034
Ecuador,1999,Environmental Protection General,Liability,0.52
Ecuador,1999,Opening statements,Science issues,0.5517241379310345
France,1999,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
France,1999,Exchange of Information,Inspections,0.5
Germany,1999,Tourism and NG_Activities,Drilling,0.7
Germany,1999,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
Germany,1999,Environmental Protection General,Operational issues,0.56
Germany,1999,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
IAATO,1999,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
IMO,1999,Emergency report and contingency planning,Safety and Operations in Antarctica,0.5882352941176471
India,1999,Opening statements,Exchange of Information,0.48275862068965514
India,1999,Opening statements,Science issues,0.5517241379310345
Italy,1999,Inspections,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Italy,1999,Opening statements,Environmental Protection General,0.5172413793103448
Italy,1999,Operational issues,Exchange of Information,0.4545454545454546
Japan,1999,Fauna and Flora_General,Area Protection and Management Plans General,0.5625
Japan,1999,Opening statements,Educational issues,0.5172413793103448
Japan,1999,Environmental Protection General,Exchange of Information,0.48
Japan,1999,Environmental Protection General,Operational issues,0.56
Japan,1999,Operation of the Antarctic Treaty system General,Waste management and disposal,0.6153846153846154
Korea (ROK),1999,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
New Zealand,1999,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
New Zealand,1999,Operation of the Antarctic Treaty system General,Inspections,0.5
Norway,1999,Operational issues,Exchange of Information,0.4545454545454546
Norway,1999,Area Protection and Management Plans General,Management Plans,0.4375
Norway,1999,Inspections,Waste management and disposal,0.5263157894736843
Peru,1999,Safety and Operations in Antarctica,Emergency report and contingency planning,0.5882352941176471
Peru,1999,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Russian Federation,1999,Environmental Protection General,Institutional and legal matters,0.56
SCAR,1999,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
SCAR,1999,Area Protection and Management Plans General,State of the Antarctic Environment Report SAER,0.7692307692307692
South Africa,1999,Environmental Protection General,Exchange of Information,0.48
Spain,1999,Opening statements,Environmental Protection General,0.5172413793103448
Sweden,1999,Environmental Protection General,State of the Antarctic Environment Report SAER,0.84
UNEP,1999,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
United Kingdom,1999,Environmental Impact Assessment EIA Other EIA Matters,Educational issues,0.5769230769230769
United Kingdom,1999,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
United Kingdom,1999,Area Protection and Management Plans General,Management Plans,0.4375
United Kingdom,1999,Institutional and legal matters,Safety and Operations in Antarctica,0.47058823529411764
United Kingdom,1999,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Uruguay,1999,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Uruguay,1999,Environmental Protection General,Liability,0.52
ASOC,2000,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Bulgaria,2000,Exchange of Information,Environmental Protection General,0.48
China,2000,Exchange of Information,Environmental Protection General,0.48
France,2000,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Japan,2000,Exchange of Information,Environmental Protection General,0.48
Korea (ROK),2000,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Norway,2000,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Peru,2000,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
ASOC,2001,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
ASOC,2001,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
Argentina,2001,Management Plans,Operation of the CEP,0.6875
Argentina,2001,Tourism and NG_Activities,Specially Protected Species,0.6
Australia,2001,Management Plans,Area Protection and Management Plans General,0.4375
Australia,2001,Management Plans,Historic Sites and Monuments,0.4375
Belgium,2001,Inspections,Liability,0.5789473684210527
Brazil,2001,Exchange of Information,Opening statements,0.48275862068965514
Brazil,2001,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
Bulgaria,2001,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Chile,2001,Environmental Protection General,Liability,0.52
Chile,2001,Historic Sites and Monuments,Management Plans,0.4375
Germany,2001,Operational issues,Exchange of Information,0.4545454545454546
Germany,2001,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
IAATO,2001,Safety and Operations in Antarctica,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
IAATO,2001,Comprehensive Environmental Evaluations,Management Plans,0.5625
India,2001,Opening statements,Historic Sites and Monuments,0.7241379310344828
Italy,2001,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
Italy,2001,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Japan,2001,Operational issues,Exchange of Information,0.4545454545454546
Netherlands,2001,Environmental Protection General,Exchange of Information,0.48
Netherlands,2001,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
New Zealand,2001,State of the Antarctic Environment Report SAER,Environmental Domains Analysis,0.4
Peru,2001,Fauna and Flora_General,Cooperation with Other Organisations,0.625
Peru,2001,Environmental Monitoring and Reporting,Liability,0.65
Poland,2001,Opening statements,Area Protection and Management Plans General,0.8620689655172413
Russian Federation,2001,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Russian Federation,2001,Environmental Impact Assessment EIA Other EIA Matters,Waste management and disposal,0.5909090909090908
SCAR,2001,Environmental Impact Assessment EIA Other EIA Matters,Emergency report and contingency planning,0.6818181818181819
Spain,2001,Environmental Protection General,Exchange of Information,0.48
Spain,2001,Environmental Protection General,Management Plans,0.72
Sweden,2001,Environmental Protection General,Exchange of Information,0.48
Sweden,2001,Environmental Protection General,Liability,0.52
United Kingdom,2001,Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.6
United Kingdom,2001,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
United Kingdom,2001,Environmental Protection General,Operational issues,0.56
United States,2001,Exchange of Information,Inspections,0.5
Uruguay,2001,Operational issues,Exchange of Information,0.4545454545454546
Uruguay,2001,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
ASOC,2002,Waste management and disposal,Emergency report and contingency planning,0.6153846153846154
ASOC,2002,Operation of the Antarctic Treaty system Reports,Fauna and Flora_General,0.6
ASOC,2002,Tourism and NG_Activities,Marine Protected Areas,0.5454545454545454
Argentina,2002,Management Plans,Operational issues,0.5789473684210527
Australia,2002,Exchange of Information,Inspections,0.5
Australia,2002,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Australia,2002,Area Protection and Management Plans General,State of the Antarctic Environment Report SAER,0.7692307692307692
Australia,2002,Nonnative Species and Quarantine,Waste management and disposal,0.6
Bulgaria,2002,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
CCAMLR,2002,Operation of the Antarctic Treaty system Reports,Operation of the Antarctic Treaty system The Secretariat,0.75
COMNAP,2002,Environmental Impact Assessment EIA Other EIA Matters,Waste management and disposal,0.5909090909090908
Chile,2002,Safety and Operations in Antarctica,Emergency report and contingency planning,0.5882352941176471
Chile,2002,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
China,2002,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Czechia,2002,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Finland,2002,Opening statements,International Polar Year,0.6551724137931034
France,2002,Inspections,Exchange of Information,0.5
France,2002,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
IAATO,2002,Safety and Operations in Antarctica,Emergency report and contingency planning,0.5882352941176471
India,2002,Historic Sites and Monuments,Management Plans,0.4375
Italy,2002,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Italy,2002,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
Italy,2002,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Japan,2002,Educational issues,Science issues,0.3846153846153846
Korea (ROK),2002,Environmental Protection General,Operational issues,0.56
New Zealand,2002,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
New Zealand,2002,Inspections,Waste management and disposal,0.5263157894736843
Norway,2002,Exchange of Information,Opening statements,0.48275862068965514
Norway,2002,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Peru,2002,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Poland,2002,Opening statements,Environmental Impact Assessment EIA Other EIA Matters,0.6206896551724138
