validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source
OV165,Resolution 7 (2010),2010,Resolution,Enhancement of port State control for passenger vessels bound,INSUFFICIENT_TITLE,,high,adversarial_adjudication+independent_audit
OV166,Resolution 2 (2011),2011,Resolution,Revised Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV167,Resolution 2 (2012),2012,Resolution,Cooperation on questions related to the exercise of jurisdiction,Institutional and legal matters,,high,three_coder_unanimous+independent_audit
OV168,Resolution 3 (2012),2012,Resolution,Improving Cooperation in Antarctica.,INSUFFICIENT_TITLE,,medium,three_coder_unanimous+independent_audit
OV169,Resolution 3 (2013),2013,Resolution,Site Guidelines for Visitors.,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV170,Resolution 6 (2013),2013,Resolution,Biological Prospecting in Antarctica,Biological Prospecting,,high,three_coder_unanimous+independent_audit
OV171,Resolution 2 (2014),2014,Resolution,"Cooperation, Facilitation, and Exchange of Meteorological and Related Oceanographic and Cryospheric Environmental Information.",Exchange of Information,Science issues,high,three_coder_unanimous+independent_audit
OV172,Resolution 3 (2015),2015,Resolution,The Antarctic Environments Portal.,Exchange of Information,,medium,adversarial_adjudication+independent_audit
OV173,Resolution 5 (2015),2015,Resolution,Important Bird Areas in Antarctica.,Fauna and Flora_General,,high,three_coder_unanimous+independent_audit
OV174,Resolution 6 (2015),2015,Resolution,The Role of Antarctica in Global Climate Processes.,Climate Change,,high,three_coder_unanimous+independent_audit
OV175,Resolution 1 (2016),2016,Resolution,"Revised Guidelines for Environmental Impact Assessment in Antarctica, and highlighted the importance of the Guidelines for the ongoing implementation of the Protocol.",Environmental Impact Assessment EIA Other EIA Matters,,high,three_coder_unanimous+independent_audit
OV176,Resolution 2 (2016),2016,Resolution,Site Guidelines for Visitors.,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV177,Resolution 4 (2016),2016,Resolution,The Committee for Environmental Protection Non-native Species Manual,Nonnative Species and Quarantine,,high,three_coder_unanimous+independent_audit
OV178,Resolution 5 (2016),2016,Resolution,"Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Area Protection and Management Plans General,Historic Sites and Monuments,high,three_coder_unanimous+independent_audit
OV179,Resolution 3 (2017),2017,Resolution,Antarctic Conservation Biogeographic Regions (ACBRs Version 2),Environmental Domains Analysis,,high,three_coder_unanimous+independent_audit
OV180,Resolution 4 (2017),2017,Resolution,Green Expedition in the Antarctic.,INSUFFICIENT_TITLE,,medium,independent_challenge+blind_arbitration
OV181,Resolution 5 (2017),2017,Resolution,Establishment of the Ross Sea Region Marine Protected Area,Marine Protected Areas,,high,three_coder_unanimous+independent_audit
OV182,Resolution 6 (2017),2017,Resolution,"Guidelines on Contingency Planning, insurance and other matters for tourist and other non-governmental activities in the Antarctic Treaty Area.",Emergency report and contingency planning,Tourism and NG_Activities,high,three_coder_unanimous+independent_audit
OV183,Resolution 1 (2018),2018,Resolution,Site Guidelines for Visitors.,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV184,Resolution 4 (2018),2018,Resolution,Environmental guidelines for the operation of Remotely Piloted Aircraft Systems (RPAS) in Antarctica,Environmental Protection General,Operational issues,high,three_coder_unanimous+independent_audit
OV185,Resolution 5 (2018),2018,Resolution,SCAR's Environmental Code of Conduct for Terrestrial Scientific Field Research in Antarctica.,Environmental Protection General,Science issues,high,adversarial_adjudication+independent_audit
OV186,Resolution 2 (2019),2019,Resolution,Site Guidelines for Visitors.,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV187,Resolution 3 (2019),2019,Resolution,Visitor Site Guidelines Assessment and Review Checklist,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV188,Resolution 4 (2019),2019,Resolution,Scientific Committee on Antarctic Research's Code of Conduct for the Use of Animals for Scientific Purposes in Antarctica,Fauna and Flora_General,Science issues,high,adversarial_adjudication+independent_audit
OV189,Resolution 6 (2019),2019,Resolution,Hydrographic Mapping of Antarctic Waters,Operational issues,,medium,three_coder_unanimous+independent_audit
OV190,Resolution 7 (2019),2019,Resolution,SCAR’s Sixtieth Anniversary and the Role of SCAR in Providing Scientific Advice to Support the Work of the Antarctic Treaty System,Cooperation with Other Organisations,Science issues,high,three_coder_unanimous+independent_audit
OV191,Resolution 1 (2021),2021,Resolution,SCAR Environmental Code of Conduct for Geosciences Field Research Activities in Antarctica,Environmental Protection General,Science issues,high,adversarial_adjudication+independent_audit
OV192,Resolution 5 (2021),2021,Resolution,Coronavirus Disease 2019 and Antarctica,Safety and Operations in Antarctica,,medium,three_coder_unanimous+independent_audit
OV193,Resolution 6 (2021),2021,Resolution,Air Safety in Antarctica,Safety and Operations in Antarctica,,high,three_coder_unanimous+independent_audit
OV194,Resolution 4 (2022),2022,Resolution,Antarctic Climate Change and the Environment: A Decadal Synopsis and Recommendations for Action report,Climate Change,,high,three_coder_unanimous+independent_audit
OV195,Resolution 2 (2023),2023,Resolution,Helsinki Declaration on Climate Change and the Antarctic,Climate Change,,high,three_coder_unanimous+independent_audit
OV196,Resolution 4 (2023),2023,Resolution,Urgent measures to be taken with respect to certain tourist and non-governmental activities,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit
OV197,Resolution 2 (2024),2024,Resolution,General Guidelines for Visitors to the Antarctic,Tourism and NG_Activities,,high,adversarial_adjudication+independent_audit
OV198,Resolution 1 (2025),2025,Resolution,Site Guidelines for Visitors,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV199,Resolution 2 (2025),2025,Resolution,Revised Guidelines for implementation of the Framework for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV200,Resolution 4 (2025),2025,Resolution,General Guidelines for Visitors to the Antarctic,Tourism and NG_Activities,,high,adversarial_adjudication+independent_audit
