validation_id,outcome_id,year,instrument,title,primary_a,secondary_a,confidence_a,rationale_a,primary_b,secondary_b,confidence_b,rationale_b,primary_c,secondary_c,confidence_c,rationale_c,n_distinct_primary,unanimous_primary,majority_primary,majority_count
OV081,Measure 14 (2014),2014,Measure,"Antarctic Specially Managed Area No 1 (Admiralty Bay, King George Island): Revised Management Plan.",Management Plans,,high,The title names an individual ASMA revised management plan.,Management Plans,,high,The title names an ASMA revised management plan.,Management Plans,,high,Title revises the management plan for named ASMA 1.,1,True,Management Plans,3
OV082,Measure 9 (2014),2014,Measure,"Antarctic Specially Protected Area No 162 (Mawson's Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 162.,1,True,Management Plans,3
OV083,Measure 1 (2015),2015,Measure,"Antarctic Specially Protected Area ASPA No. 101 (Taylor Rookery, Mac.Robertson Land): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 101.,1,True,Management Plans,3
OV084,Measure 18 (2015),2015,Measure,"Antarctic Specially Managed Area ASMA No. 2 (McMurdo Dry Valleys, Southern Victoria Land): Revised Management Plan.",Management Plans,,high,The title names an individual ASMA revised management plan.,Management Plans,,high,The title names an ASMA revised management plan.,Management Plans,,high,Title revises the management plan for named ASMA 2.,1,True,Management Plans,3
OV085,Measure 4 (2015),2015,Measure,"Antarctic Specially Protected Area ASPA No. 104 (Sabrina Island, Balleny Islands): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 104.,1,True,Management Plans,3
OV086,Measure 1 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 116.,1,True,Management Plans,3
OV087,Measure 2 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 120.,1,True,Management Plans,3
OV088,Measure 4 (2017),2017,Measure,"Antarctic Specially Protected Area ASPA No. 115 (Lagotellerie Island, Marguerite Bay, Graham Land): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 115.,1,True,Management Plans,3
OV089,Measure 1 (2018),2018,Measure,"Antarctic Specially Protected Area ASPA No. 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 108.,1,True,Management Plans,3
OV090,Measure 4 (2018),2018,Measure,"Antarctic Specially Protected Area ASPA No. 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 147.,1,True,Management Plans,3
OV091,Measure 5 (2018),2018,Measure,"Antarctic Specially Protected Area ASPA No. 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 170.,1,True,Management Plans,3
OV092,Measure 7 (2019),2019,Measure,"Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 161.,1,True,Management Plans,3
OV093,Measure 17 (2021),2021,Measure,"Antarctic Specially Protected Area No 163 (Dakshin Gangotri Glacier, Dronning Maud Land): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 163.,1,True,Management Plans,3
OV094,Measure 4 (2021),2021,Measure,"Antarctic Specially Protected Area No 103 (Ardery Island and Odbert Island, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 103.,1,True,Management Plans,3
OV095,Measure 7 (2021),2021,Measure,"Antarctic Specially Protected Area No 106 (Cape Hallett, Northern Victoria Land, Ross Sea): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 106.,1,True,Management Plans,3
OV096,Measure 1 (2022),2022,Measure,Antarctic Specially Managed Area No 7 (Southwest Anvers Island and Palmer Basin): Revised Management Plan,Management Plans,,high,The title names an individual ASMA revised management plan.,Management Plans,,high,The title names an ASMA revised management plan.,Management Plans,,high,Title revises the management plan for named ASMA 7.,1,True,Management Plans,3
OV097,Measure 12 (2022),2022,Measure,"Antarctic Specially Protected Area No 129 (Rothera Point, Adelaide Island): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 129.,1,True,Management Plans,3
OV098,Measure 15 (2022),2022,Measure,"Antarctic Specially Protected Area No 140 (Parts of Deception Island, South Shetland Islands): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 140.,1,True,Management Plans,3
OV099,Measure 18 (2022),2022,Measure,"Revised List of Antarctic Historic Sites and Monuments: Updating information for Historic Sites and Monuments No 26, 29, 36, 38, 39, 40, 41, 42, 43 and 93",Historic Sites and Monuments,,high,The title updates information for a list of numbered Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title updates specified historic-site records.,Historic Sites and Monuments,,high,Title updates information for named HSM entries.,1,True,Historic Sites and Monuments,3
OV100,Measure 6 (2022),2022,Measure,"Antarctic Specially Protected Area No 115 (Lagotellerie Island, Marguerite Bay, Graham Land): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 115.,1,True,Management Plans,3
OV101,Measure 8 (2023),2023,Measure,"Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 138.,1,True,Management Plans,3
OV102,Measure 12 (2024),2024,Measure,"Antarctic Specially Protected Area No 171 (Narębski Point, Barton Peninsula, King George Island): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 171.,1,True,Management Plans,3
OV103,Measure 4 (2024),2024,Measure,"Antarctic Specially Protected Area No 136 (Clark Peninsula, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 136.,1,True,Management Plans,3
OV104,Measure 1 (2025),2025,Measure,"Antarctic Specially Protected Area No 162 (Mawson's Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 162.,1,True,Management Plans,3
OV105,Recommendation 3-3,1964,Recommendation,LOGISTICS,Operational issues,,high,The title explicitly concerns logistics.,Operational issues,,high,The title explicitly concerns logistics.,Operational issues,,high,Title explicitly concerns logistics.,1,True,Operational issues,3
OV106,Recommendation 4-16,1966,Recommendation,Specially Protected Species: Fur Seals,Specially Protected Species,,high,The title explicitly identifies fur seals as specially protected species.,Specially Protected Species,,high,The title explicitly identifies fur seals as specially protected.,Specially Protected Species,,high,Title explicitly names specially protected fur seals.,1,True,Specially Protected Species,3
OV107,Recommendation 4-22,1966,Recommendation,Study of pelagic sealing,Marine living resources,,high,The title concerns a study of pelagic sealing.,Marine living resources,,high,The title concerns pelagic sealing.,Marine living resources,,high,Title concerns study of pelagic sealing.,1,True,Marine living resources,3
OV108,Recommendation 5-3,1968,Recommendation,Southern Ocean research,Science issues,,high,The title explicitly concerns Southern Ocean research.,Science issues,,high,The title concerns Southern Ocean research.,Science issues,,high,Title explicitly concerns Southern Ocean research.,1,True,Science issues,3
OV109,Recommendation 6-11,1970,Recommendation,NEW ISLANDS,INSUFFICIENT_TITLE,,medium,The phrase 'New Islands' does not state a governable concern.,INSUFFICIENT_TITLE,,high,The title names new islands without stating a concern.,OUTSIDE_TAXONOMY,,medium,New islands are identifiable but lack a matching taxonomy concern.,2,False,INSUFFICIENT_TITLE,2
OV110,Recommendation 6-12,1970,Recommendation,Information exchange on rocket launching,Exchange of Information,,high,The title concerns information exchange about rocket launching.,Exchange of Information,,high,The title concerns information exchange on rocket launches.,Exchange of Information,,high,Title explicitly concerns information exchange on rocket launching.,1,True,Exchange of Information,3
OV111,Recommendation 7-3,1972,Recommendation,SITES OF SPECIAL SCIENTIFIC INTEREST,Area Protection and Management Plans General,,high,The title concerns sites of special scientific interest as a protected-area class.,Area Protection and Management Plans General,,high,The title concerns the SSSI protected-area category.,Area Protection and Management Plans General,,high,Title concerns SSSIs as a protected-area class.,1,True,Area Protection and Management Plans General,3
OV112,Recommendation 7-8,1972,Recommendation,CO-OPERATION IN TRANSPORT,Operational issues,,high,The title concerns cooperation in transport.,Operational issues,,high,The title concerns transport cooperation.,Operational issues,,high,Title concerns cooperation in transport operations.,1,True,Operational issues,3
OV113,Recommendation 7-9,1972,Recommendation,HISTORIC MONUMENTS,Historic Sites and Monuments,,high,The title explicitly concerns historic monuments.,Historic Sites and Monuments,,high,The title explicitly concerns historic monuments.,Historic Sites and Monuments,,high,Title explicitly concerns historic monuments.,1,True,Historic Sites and Monuments,3
OV114,Recommendation 8-3,1975,Recommendation,Sites of Special Scientific Interest,Area Protection and Management Plans General,,high,The title concerns sites of special scientific interest as a protected-area class.,Area Protection and Management Plans General,,high,The title concerns the SSSI protected-area category.,Area Protection and Management Plans General,,high,Title concerns SSSIs as a protected-area class.,1,True,Area Protection and Management Plans General,3
OV115,Recommendation 8-5,1975,Recommendation,Permits for Entry to Specially Protected Areas,Area Protection and Management Plans General,,high,The title concerns general entry permits for specially protected areas.,Area Protection and Management Plans General,,high,The title concerns general entry permits for protected areas.,Area Protection and Management Plans General,,high,Title concerns general entry permits for protected areas.,1,True,Area Protection and Management Plans General,3
OV116,Recommendation 8-7,1975,Recommendation,Co-operation in Transport,Operational issues,,high,The title concerns cooperation in transport.,Operational issues,,high,The title concerns transport cooperation.,Operational issues,,high,Title concerns cooperation in transport operations.,1,True,Operational issues,3
OV117,Recommendation 9-4,1977,Recommendation,Co-operation in transport,Operational issues,,high,The title concerns cooperation in transport.,Operational issues,,high,The title concerns transport cooperation.,Operational issues,,high,Title concerns cooperation in transport operations.,1,True,Operational issues,3
OV118,Recommendation 10-7,1979,Recommendation,Oil Contamination of the Antarctic Marine Environment,Prevention of marine pollution,,high,The title explicitly concerns oil contamination of the marine environment.,Prevention of marine pollution,,high,The title concerns oil contamination of the marine environment.,Prevention of marine pollution,,high,Title explicitly concerns oil contamination of the marine environment.,1,True,Prevention of marine pollution,3
OV119,Recommendation 13-11,1985,Recommendation,Specially Protected Areas:,INSUFFICIENT_TITLE,,high,The title ends after a general protected-areas heading.,Area Protection and Management Plans General,,medium,The visible subject is the protected-area system.,INSUFFICIENT_TITLE,,high,Visible protected-areas title is truncated at a colon.,2,False,INSUFFICIENT_TITLE,2
OV120,Recommendation 13-13,1985,Recommendation,"Specially Protected Area N° 7: Cape Hallett,",INSUFFICIENT_TITLE,,high,The title ends after naming one protected area and states no action.,INSUFFICIENT_TITLE,,high,The truncated title names a protected area but not the action.,INSUFFICIENT_TITLE,,high,Visible named-area title is truncated before stating the action.,1,True,INSUFFICIENT_TITLE,3
OV121,Recommendation 14-1,1987,Recommendation,Operation of the Antarctic Treaty System: public availability of the documents of Consultative Meetings.,Operation of the Antarctic Treaty system General,,high,The title concerns public availability of Consultative Meeting documents.,Operation of the Antarctic Treaty system General,,high,The title concerns public availability of ATCM documents.,Operation of the Antarctic Treaty system General,,high,Title concerns public availability of ATCM documents.,1,True,Operation of the Antarctic Treaty system General,3
OV122,Recommendation 14-2,1987,Recommendation,Human impact on the Antarctic environment: Environmental impact assessment.,Environmental Impact Assessment EIA Other EIA Matters,,high,The title explicitly concerns environmental impact assessment.,Environmental Impact Assessment EIA Other EIA Matters,,high,The title explicitly concerns environmental impact assessment.,Environmental Impact Assessment EIA Other EIA Matters,,high,Title explicitly concerns environmental impact assessment.,1,True,Environmental Impact Assessment EIA Other EIA Matters,3
OV123,Recommendation 14-4,1987,Recommendation,Facilitation of Scientific Research: Sites of Special Scientific Interest: Interim Guidelines: Extension of Designation.,Area Protection and Management Plans General,Science issues,high,The title concerns general designation guidance for scientific-interest sites and facilitation of research.,Management Plans,Science issues,high,The title extends designation of specified scientific-interest sites.,Management Plans,,high,Title extends designation of protected scientific-interest sites.,2,False,Management Plans,2
OV124,Recommendation 14-5,1987,Recommendation,Facilitation of Scientific Research: Sites of Special,INSUFFICIENT_TITLE,,high,The title is truncated before identifying the type of scientific site or action.,INSUFFICIENT_TITLE,,high,The title is truncated before identifying the protected-site concern.,INSUFFICIENT_TITLE,,high,Visible title is truncated before identifying the full subject.,1,True,INSUFFICIENT_TITLE,3
OV125,Recommendation 14-6,1987,Recommendation,Marine sites of special scientific interest.,Area Protection and Management Plans General,,high,The title concerns marine sites of special scientific interest.,Area Protection and Management Plans General,,medium,The title concerns marine sites of special scientific interest.,Area Protection and Management Plans General,,high,Title concerns marine SSSIs as protected areas.,1,True,Area Protection and Management Plans General,3
OV126,Recommendation 14-9,1987,Recommendation,Air safety in Antarctica.,Safety and Operations in Antarctica,,high,The title explicitly concerns air safety in Antarctica.,Safety and Operations in Antarctica,,high,The title explicitly concerns air safety.,Safety and Operations in Antarctica,,high,Title explicitly concerns air safety in Antarctica.,1,True,Safety and Operations in Antarctica,3
OV127,Recommendation 15-19,1989,Recommendation,Cooperation in the hydrographic charting of Antarctic Waters,Operational issues,,medium,The title concerns operational hydrographic charting of Antarctic waters.,Operational issues,,medium,The title concerns cooperation in hydrographic charting.,Operational issues,,high,Title concerns cooperative hydrographic charting operations.,1,True,Operational issues,3
OV128,Recommendation 15-2,1989,Recommendation,Comprehensive measures for the protection of the Antarctic environment and dependent and associated ecosystems,Environmental Protection General,,high,The title broadly concerns protection of the Antarctic environment and ecosystems.,Environmental Protection General,,high,The title concerns comprehensive Antarctic environmental protection.,Environmental Protection General,,high,Title broadly concerns protection of the Antarctic environment.,1,True,Environmental Protection General,3
OV129,Recommendation 15-22,1989,Recommendation,THE OPERATION OF THE ANTARCTIC TREATY SYSTEM: REPORTS (Agenda item 5),Operation of the Antarctic Treaty system Reports,,high,The title explicitly identifies reports on operation of the Treaty System.,Operation of the Antarctic Treaty system Reports,,high,The title explicitly names Treaty System operational reports.,Operation of the Antarctic Treaty system Reports,,high,Title explicitly identifies Treaty System reports.,1,True,Operation of the Antarctic Treaty system Reports,3
OV130,Recommendation 15-3,1989,Recommendation,Human impact on the Antarctic environment: Waste disposal,Waste management and disposal,,high,The title explicitly concerns waste disposal.,Waste management and disposal,,high,The title explicitly concerns waste disposal.,Waste management and disposal,,high,Title explicitly concerns waste disposal.,1,True,Waste management and disposal,3
OV131,Recommendation 15-7,1989,Recommendation,"Antarctic Protected Area System: Redesignation of Specially Protected Area, n°11 Cape Shirreff, as Site of Special Scientific Interest No.32",Management Plans,,high,The title redesignates a particular protected area.,Management Plans,,high,The title redesignates a named protected area.,Management Plans,,high,Title redesignates a named protected area.,1,True,Management Plans,3
OV132,Recommendation 16-1,1991,Recommendation,EXCHANGE OF INFORMATION,Exchange of Information,,high,The title explicitly concerns exchange of information.,Exchange of Information,,high,The title explicitly concerns information exchange.,Exchange of Information,,high,Title explicitly concerns exchange of information.,1,True,Exchange of Information,3
OV133,Recommendation 16-10,1991,Recommendation,ANTARCTIC PROTECTED AREA SYSTEM: REVIEW OF THE SYSTEM,Area Protection and Management Plans General,,high,The title concerns review of the protected-area system.,Area Protection and Management Plans General,,high,The title concerns review of the protected-area system.,Area Protection and Management Plans General,,high,Title reviews the protected-area system.,1,True,Area Protection and Management Plans General,3
OV134,Recommendation 16-5,1991,Recommendation,ANTARCTIC PROTECTED AREA SYSTEM,Area Protection and Management Plans General,,high,The title concerns the protected-area system generally.,Area Protection and Management Plans General,,high,The title explicitly concerns the protected-area system.,Area Protection and Management Plans General,,high,Title concerns the protected-area system generally.,1,True,Area Protection and Management Plans General,3
OV135,Recommendation 17-4,1992,Recommendation,GLOBAL CHANGE RESEARCH AND INTERNATIONAL COOPERATION IN ANTARCTICA,Climate Change,Science issues,medium,The title concerns global-change research in Antarctica.,Climate Change,Science issues,medium,The title concerns global-change research in Antarctica.,Climate Change,Science issues,high,Title concerns global-change research in Antarctica.,1,True,Climate Change,3
OV136,Resolution 2 (1995),1995,Resolution,Disposal of nuclear waste negotiations,Waste management and disposal,,high,The title concerns negotiations over disposal of nuclear waste.,Waste management and disposal,,high,The title concerns disposal of nuclear waste.,Waste management and disposal,,high,Title concerns negotiations on nuclear-waste disposal.,1,True,Waste management and disposal,3
OV137,Resolution 5 (1995),1995,Resolution,Inspection checklists,Inspections,,high,The title explicitly concerns inspection checklists.,Inspections,,high,The title explicitly concerns inspection checklists.,Inspections,,high,Title explicitly concerns inspection checklists.,1,True,Inspections,3
OV138,Resolution 8 (1995),1995,Resolution,Guidelines for proposing new Historic Sites and Monuments,Historic Sites and Monuments,,high,The title concerns guidelines for proposing Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title concerns guidelines for proposing historic sites.,Historic Sites and Monuments,,high,Title gives guidelines for proposing new HSMs.,1,True,Historic Sites and Monuments,3
OV139,Resolution 2 (1996),1996,Resolution,Educational and cultural activities,Educational issues,,high,The title explicitly concerns educational and cultural activities.,Educational issues,,high,The title explicitly concerns educational and cultural activities.,Educational issues,,high,Title explicitly concerns educational and cultural activities.,1,True,Educational issues,3
OV140,Resolution 3 (1996),1996,Resolution,"Extension of expiry dates for SSSI 2 (Arrival Heights), 13 (Potter Peninsula), 20 (Biscoe Point), 23 (Svarthamaren), 24 (Mount Melbourne), 25 (Marine Plain), 26 (Chile Bay), 27 (Port Foster), 28 (South Bay), 29 (Ablation Point), 31 (Mount Flora) and 32 (Cape Shirreff)",Management Plans,,high,The title extends expiry dates for specifically numbered designated sites.,Management Plans,,high,The title extends expiry dates for specified protected sites.,Management Plans,,high,Title extends expiry dates for named SSSIs.,1,True,Management Plans,3
OV141,Resolution 5 (1996),1996,Resolution,Numbering system for ASPAs,Area Protection and Management Plans General,,high,The title sets a general numbering system for ASPAs.,Area Protection and Management Plans General,,high,The title concerns the ASPA numbering system.,Area Protection and Management Plans General,,high,Title establishes a system-wide ASPA numbering system.,1,True,Area Protection and Management Plans General,3
OV142,Resolution 1 (1997),1997,Resolution,Contingency plans,Emergency report and contingency planning,,high,The title explicitly concerns contingency plans.,Emergency report and contingency planning,,high,The title explicitly concerns contingency plans.,Emergency report and contingency planning,,high,Title explicitly concerns contingency plans.,1,True,Emergency report and contingency planning,3
OV143,Resolution 1 (1998),1998,Resolution,Annex V. Protected Areas,Area Protection and Management Plans General,,high,The title concerns the protected-areas framework in Annex V.,Area Protection and Management Plans General,,high,The title concerns the Protocol annex on protected areas.,Area Protection and Management Plans General,,high,Title concerns the Protocol annex on protected areas.,1,True,Area Protection and Management Plans General,3
OV144,Resolution 2 (1998),1998,Resolution,Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,The title is general guidance for preparing ASPA management plans.,Area Protection and Management Plans General,,high,The title concerns general guidance for preparing ASPA plans.,Area Protection and Management Plans General,,high,Title gives general guidance for ASPA management plans.,1,True,Area Protection and Management Plans General,3
OV145,Resolution 4 (1998),1998,Resolution,Antarctic Data Management,Science issues,,medium,"The title concerns management of Antarctic data, supporting scientific work.",Science issues,,medium,The title concerns management of Antarctic data.,Exchange of Information,,medium,Title concerns management of Antarctic data.,2,False,Science issues,2
OV146,Resolution 2 (1999),1999,Resolution,LIST OF SPECIALLY PROTECTED SPECIES: ANNEX II TO THE ENVIRONMENTAL PROTOCOL,Specially Protected Species,,high,The title explicitly concerns a list of specially protected species.,Specially Protected Species,,high,The title explicitly concerns the specially protected species list.,Specially Protected Species,,high,Title explicitly concerns the specially protected species list.,1,True,Specially Protected Species,3
OV147,Resolution 6 (1999),1999,Resolution,ADHERENCE TO THE ENVIRONMENTAL PROTOCOL BY NON-CONSULTATIVE PARTIES,Environmental Protection General,,high,The title concerns adherence to the Environmental Protocol.,Environmental Protection General,,high,The title concerns adherence to the Environment Protocol.,Environmental Protection General,,high,Title concerns general adherence to the Environment Protocol.,1,True,Environmental Protection General,3
OV148,Resolution 2 (2001),2001,Resolution,"Support for CCAMLR and its Measures to Combat Illegal, Unreported and Unregulated Fishing, Including a Catch Documentation Scheme for Dissostichus spp. (Toothfish)",Cooperation with Other Organisations,Marine living resources,high,The title supports CCAMLR measures against illegal fishing.,Cooperation with Other Organisations,Marine living resources,high,The title supports CCAMLR measures against illegal fishing.,Cooperation with Other Organisations,Marine living resources,high,Title supports CCAMLR action against illegal fishing.,1,True,Cooperation with Other Organisations,3
OV149,Resolution 4 (2001),2001,Resolution,Historic Sites and Monuments,Historic Sites and Monuments,,high,The title explicitly concerns Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title explicitly concerns historic sites and monuments.,Historic Sites and Monuments,,high,Title explicitly concerns historic sites and monuments.,1,True,Historic Sites and Monuments,3
OV150,Resolution 5 (2001),2001,Resolution,Guidelines for handling of pre-1958 historic remains whose existence or present location is not known,Historic Sites and Monuments,,high,The title concerns guidelines for pre-1958 historic remains.,Historic Sites and Monuments,,high,The title concerns handling pre-1958 historic remains.,Historic Sites and Monuments,,high,Title governs handling of pre-1958 historic remains.,1,True,Historic Sites and Monuments,3
OV151,Resolution 6 (2001),2001,Resolution,Recalling Article III (1)a and Article VII(5) of the Antarctic Treaty;,INSUFFICIENT_TITLE,,high,The title only recalls Treaty provisions and states no substantive concern.,INSUFFICIENT_TITLE,,high,Treaty article references alone do not state the concern.,INSUFFICIENT_TITLE,,high,Title only recalls Treaty articles without stating a concern.,1,True,INSUFFICIENT_TITLE,3
OV152,Resolution 3 (2002),2002,Resolution,Support for CCAMLR,Cooperation with Other Organisations,,high,The title explicitly supports CCAMLR.,Cooperation with Other Organisations,,high,The title explicitly supports CCAMLR.,Cooperation with Other Organisations,,high,Title explicitly supports CCAMLR.,1,True,Cooperation with Other Organisations,3
OV153,Resolution 4 (2003),2003,Resolution,Support for the Conservation of Albatrosses and Petrels,Fauna and Flora_General,,high,The title concerns conservation of albatrosses and petrels.,Fauna and Flora_General,,high,The title concerns conservation of albatrosses and petrels.,Fauna and Flora_General,,high,Title concerns conservation of albatrosses and petrels.,1,True,Fauna and Flora_General,3
OV154,Resolution 5 (2004),2004,Resolution,ESTABLISHMENT OF AN INTERSESSIONAL CONTACT GROUP TO IMPROVE EXCHANGE OF INFORMATION,Exchange of Information,,high,The title establishes a group to improve information exchange.,Exchange of Information,,high,The title concerns a group to improve information exchange.,Exchange of Information,,high,Title explicitly aims to improve information exchange.,1,True,Exchange of Information,3
OV155,Resolution 6 (2005),2005,Resolution,Antarctic Post Visit Site Report Form,Site Guidelines for Visitors,,high,The title concerns a post-visit site report form.,Site Guidelines for Visitors,,high,The title concerns the Antarctic post-visit site report form.,Site Guidelines for Visitors,,high,Title concerns an Antarctic post-visit site report form.,1,True,Site Guidelines for Visitors,3
OV156,Resolution 7 (2005),2005,Resolution,Biological Prospecting in Antarctica,Biological Prospecting,,high,The title explicitly concerns biological prospecting in Antarctica.,Biological Prospecting,,high,The title explicitly concerns biological prospecting.,Biological Prospecting,,high,Title explicitly concerns biological prospecting.,1,True,Biological Prospecting,3
OV157,Resolution 5 (2007),2007,Resolution,Tourism in the Antarctic Treaty Area,Tourism and NG_Activities,,high,The title explicitly concerns tourism in the Treaty Area.,Tourism and NG_Activities,,high,The title explicitly concerns Antarctic tourism.,Tourism and NG_Activities,,high,Title explicitly concerns Antarctic tourism.,1,True,Tourism and NG_Activities,3
OV158,Resolution 1 (2008),2008,Resolution,"Guide to the Presentation of Working Papers Containing Proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Area Protection and Management Plans General,Historic Sites and Monuments,high,The title gives general proposal guidance spanning protected areas and historic sites.,Area Protection and Management Plans General,Historic Sites and Monuments,high,The title gives proposal guidance spanning protected areas and historic sites.,Area Protection and Management Plans General,Historic Sites and Monuments,high,Title gives proposal guidance spanning protected areas and HSMs.,1,True,Area Protection and Management Plans General,3
OV159,Resolution 3 (2008),2008,Resolution,Environmental Domains Analysis for the Antarctic continent as a dynamic model for a systematic environmental geographic framework,Environmental Domains Analysis,,high,The title explicitly concerns Environmental Domains Analysis and a geographic framework.,Environmental Domains Analysis,,high,The title explicitly concerns environmental domains analysis.,Environmental Domains Analysis,,high,Title explicitly concerns environmental domains analysis.,1,True,Environmental Domains Analysis,3
OV160,Resolution 5 (2008),2008,Resolution,Improving hydrographic surveying and charting to support safety of navigation and environmental protection in the Antarctic region,Safety and Operations in Antarctica,Environmental Protection General,high,The title links hydrographic charting to navigation safety and environmental protection.,Safety and Operations in Antarctica,Environmental Protection General,high,The title links charting to navigation safety and environmental protection.,Safety and Operations in Antarctica,Environmental Protection General,high,Title links hydrographic charting to navigation safety and environmental protection.,1,True,Safety and Operations in Antarctica,3
OV161,Resolution 6 (2008),2008,Resolution,Enhancing the role of Maritime Rescue Coordination Centres with Search and Rescue Regions in the Antarctic Treaty Area,Search and Rescue,,high,The title explicitly concerns maritime rescue coordination and SAR regions.,Search and Rescue,,high,The title explicitly concerns maritime rescue coordination.,Search and Rescue,,high,Title concerns maritime rescue coordination and SAR regions.,1,True,Search and Rescue,3
OV162,Resolution 5 (2009),2009,Resolution,Protection of the Southern Giant Petrel,Fauna and Flora_General,,high,The title concerns protection of the Southern Giant Petrel.,Fauna and Flora_General,,high,The title concerns protection of the Southern Giant Petrel.,Fauna and Flora_General,,high,Title concerns protection of the Southern Giant Petrel.,1,True,Fauna and Flora_General,3
OV163,Resolution 7 (2009),2009,Resolution,General principles of Antarctic tourism,Tourism and NG_Activities,,high,The title concerns general principles of Antarctic tourism.,Tourism and NG_Activities,,high,The title concerns general principles of Antarctic tourism.,Tourism and NG_Activities,,high,Title explicitly concerns principles of Antarctic tourism.,1,True,Tourism and NG_Activities,3
